1.00711188461378 0.18721364880955 0-+ 0 pion_proj0_p000_A1
0.794777841750268 0.341852688767524 1++ 1 a_proj3_p000_T1
1.15637248662327 0.385624283437371 0-+ 0 pion_proj1_p000_A1
0.781837979250907 0.44081201373441 2-+ 2 pion_proj6_p000_E
1.02693111382839 0.470389267846946 0-+ 6 pion_proj2_p000_A1
0.939432356684851 0.486691472467502 1++ 1 a_proj4_p000_T1
1.17061974658789 0.518851033674971 4++ 4 a_proj12_p000_A1
0.943341098017052 0.519440250132376 2-+ 6 pion_proj7_p000_E
1.04274300444886 0.523188026526397 3++ 3 a_proj10_p000_A2
0.948099111250315 0.612958993409498 4-+ 4 pion_proj11_p000_A1
