a_rho_2xD1_J1__J0_H0D4A1 0.853911612487175 0 -
a_b1xD2_J1__J0_H0D4A1 0.148868559573042 0 -
a_rhoxD1_J1__J0_H0D4A1 0.967918858854842 0 -
a_a0xD0_J0__J0_H0D4A1 0.915716490597516 0 +
a_a0xD2_J0__J0_H0D4A1 0.53055223581109 0 +
pion_b0xD1_J1__J1_H0D4A1 0.0600248360354721 1 +
pion_rhoxD2_J1__J1_H0D4A1 0.526501236122802 1 -
pion_rho_2xD2_J1__J1_H0D4A1 0.0765469833934253 1 -
pion_b1xD1_J1__J1_H0D4A1 0.0610442745240075 1 +
a_rho_2xD1_J1__J2_H0D4A1 0.621766614462195 2 +
a_rhoxD1_J1__J2_H0D4A1 1 2 +
a_a0xD2_J2__J2_H0D4A1 0.486916280601769 2 -
a_b1xD2_J1__J2_H0D4A1 0.286377914101139 2 -
a_a1xD2_J2__J2_H0D4A1 0.0663143600997985 2 -
